Factory,Region,Orders,Current_Lead_Time_Days,Current_Margin_Pct,Units,Sales_per_Unit,Cost_per_Unit,State_Freq,City_Freq,Dominant_Ship_Mode,Dominant_Country
Chocolate,Atlantic,2778,1322.772498200144,0.6743794980862629,3.0,3.6,1.14,0.05754880915874476,0.021874680568332822,Standard Class,United States
Chocolate,Gulf,1519,1314.1586570111915,0.6746779195537332,3.0,3.6,1.14,0.021465808034345293,0.002964325871409588,Standard Class,United States
Chocolate,Interior,2225,1325.0696629213483,0.6753691519059407,3.0,3.6,1.14,0.04855361341101912,0.005928651742819176,Standard Class,United States
Chocolate,Pacific,3055,1321.552209492635,0.6747900558432028,3.0,3.6,1.14,0.19584994378002657,0.041704998466728,Standard Class,United States
Other,Atlantic,56,1299.267857142857,0.36859890109890114,3.0,1.25,0.6,0.05754880915874476,0.05243790248390064,Standard Class,United States
Other,Gulf,31,1332.1612903225807,0.41995037220843673,3.0,1.25,0.6,0.01829704589594194,0.003986507206378411,Second Class,United States
Other,Interior,38,1244.078947368421,0.4261943319838057,3.0,1.25,0.6,0.04855361341101912,0.009812940815700704,Standard Class,United States
Other,Pacific,44,1314.25,0.3588811188811189,2.0,1.25,0.6,0.19584994378002657,0.041704998466728,Standard Class,United States
Sugar,Atlantic,19,1389.2631578947369,0.542972170795498,3.0,1.5,0.7999999999999999,0.10978227537565165,0.05243790248390064,Standard Class,United States
Sugar,Gulf,5,1200.0,0.6048017867113344,4.0,1.99,0.9,0.038127363794337114,0.0021465808034345293,Standard Class,United States
Sugar,Interior,8,1318.625,0.5112227805695142,3.0,1.5,0.8,0.04855361341101912,0.008075232546253705,Standard Class,United States
Sugar,Pacific,5,1419.4,0.6490675600223339,4.0,3.75,1.0,0.04926914034549729,0.041704998466728,Standard Class,United States
