Units,Sales per Unit,Cost per Unit,Ship Speed Rank,State/Province Freq,City Freq,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Region_Atlantic,Region_Gulf,Region_Interior,Region_Pacific,Factory_Chocolate,Factory_Other,Factory_Sugar,Country/Region_Canada,Country/Region_United States
2,3.25,1.14,3,0.09812940815700705,0.037207400592865175,False,False,False,True,False,False,True,False,True,False,False,False,True
2,3.75,1.3,3,0.04855361341101912,0.0008177450679750588,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.49,1.0,3,0.04855361341101912,0.0008177450679750588,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.04855361341101912,0.0008177450679750588,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.75,1.3,3,0.05754880915874476,0.05243790248390064,False,False,False,True,True,False,False,False,True,False,False,False,True
9,3.5999999999999996,1.1,3,0.013390575488091588,0.004804252274353471,False,False,False,True,False,True,False,False,True,False,False,False,True
2,3.75,1.3,3,0.013390575488091588,0.004804252274353471,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.25,1.14,1,0.017990391495451293,0.0008177450679750588,True,False,False,False,False,True,False,False,True,False,False,False,True
2,3.49,1.0,3,0.013390575488091588,0.004804252274353471,False,False,False,True,False,True,False,False,True,False,False,False,True
4,3.25,1.14,3,0.013390575488091588,0.004804252274353471,False,False,False,True,False,True,False,False,True,False,False,False,True
1,3.25,1.14,3,0.013390575488091588,0.004804252274353471,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.25,1.14,2,0.19584994378002657,0.07308596545027088,False,False,True,False,False,False,False,True,True,False,False,False,True
4,3.6,1.1,3,0.013390575488091588,0.004804252274353471,False,False,False,True,False,True,False,False,True,False,False,False,True
2,3.6,1.2,3,0.013390575488091588,0.004804252274353471,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.25,1.14,3,0.09812940815700705,0.0033731984053971173,False,False,False,True,False,False,True,False,True,False,False,False,True
7,3.75,1.3,3,0.09812940815700705,0.0033731984053971173,False,False,False,True,False,False,True,False,True,False,False,False,True
2,3.75,1.3,3,0.09812940815700705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.75,1.3,3,0.09812940815700705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
1,3.25,1.14,3,0.021465808034345293,0.015843810692016763,False,False,False,True,False,True,False,False,True,False,False,False,True
1,1.25,0.6,3,0.021465808034345293,0.015843810692016763,False,False,False,True,False,True,False,False,False,True,False,False,True
2,3.25,1.14,1,0.009506286415210058,0.001737708269447,True,False,False,False,True,False,False,False,True,False,False,False,True
3,3.25,1.14,3,0.19584994378002657,0.04967801287948482,False,False,False,True,False,False,False,True,True,False,False,False,True
6,3.49,1.0,2,0.004293161606869059,0.0002044362669937647,False,False,True,False,False,True,False,False,True,False,False,False,True
5,3.25,1.1400000000000001,3,0.19584994378002657,0.04967801287948482,False,False,False,True,False,False,False,True,True,False,False,False,True
2,3.6,1.1,3,0.04620259634059082,0.009506286415210058,False,False,False,True,True,False,False,False,True,False,False,False,True
3,3.75,1.3,2,0.0041909434733721765,0.0006133088009812941,False,False,True,False,False,True,False,False,True,False,False,False,True
3,3.25,3.0,2,0.0041909434733721765,0.0006133088009812941,False,False,True,False,False,True,False,False,False,True,False,False,True
2,3.25,1.14,2,0.0041909434733721765,0.0006133088009812941,False,False,True,False,False,True,False,False,True,False,False,False,True
7,3.6,1.1,3,0.04620259634059082,0.009506286415210058,False,False,False,True,True,False,False,False,True,False,False,False,True
6,3.25,1.14,2,0.0041909434733721765,0.0006133088009812941,False,False,True,False,False,True,False,False,True,False,False,False,True
5,3.4899999999999998,1.0,3,0.19584994378002657,0.04967801287948482,False,False,False,True,False,False,False,True,True,False,False,False,True
6,3.6,1.0999999999999999,2,0.0041909434733721765,0.0006133088009812941,False,False,True,False,False,True,False,False,True,False,False,False,True
4,1.25,0.6,1,0.05754880915874476,0.05243790248390064,True,False,False,False,True,False,False,False,False,True,False,False,True
5,3.6,1.1,1,0.017990391495451293,0.0018399264029438822,True,False,False,False,False,True,False,False,True,False,False,False,True
6,3.75,1.3,2,0.05754880915874476,0.05243790248390064,False,False,True,False,True,False,False,False,True,False,False,False,True
2,3.6,1.2,2,0.05754880915874476,0.05243790248390064,False,False,True,False,True,False,False,False,True,False,False,False,True
3,3.75,1.3,2,0.05754880915874476,0.05243790248390064,False,False,True,False,True,False,False,False,True,False,False,False,True
3,3.6,1.0999999999999999,2,0.05754880915874476,0.05243790248390064,False,False,True,False,True,False,False,False,True,False,False,False,True
4,3.49,1.0,2,0.011857303485638352,0.015843810692016763,False,False,True,False,False,False,False,True,True,False,False,False,True
5,3.75,1.3,1,0.02177246243483594,0.0011243994684657058,True,False,False,False,False,False,False,True,True,False,False,False,True
5,3.75,1.3,1,0.02177246243483594,0.0011243994684657058,True,False,False,False,False,False,False,True,True,False,False,False,True
4,3.6,1.2,1,0.02177246243483594,0.0011243994684657058,True,False,False,False,False,False,False,True,True,False,False,False,True
3,3.75,1.3,3,0.005928651742819176,0.0011243994684657058,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.6,1.2,3,0.025452315240723705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.6,1.2,3,0.025452315240723705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
4,3.25,1.14,3,0.005928651742819176,0.0011243994684657058,False,False,False,True,False,True,False,False,True,False,False,False,True
2,3.25,1.14,3,0.19584994378002657,0.07308596545027088,False,False,False,True,False,False,False,True,True,False,False,False,True
4,3.6,1.2,3,0.025452315240723705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
7,3.75,1.3,3,0.005928651742819176,0.0011243994684657058,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.005928651742819176,0.0011243994684657058,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.49,1.0,3,0.025452315240723705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
5,3.25,1.1400000000000001,3,0.025452315240723705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
1,3.49,1.0,3,0.01829704589594194,0.002351017070428294,False,False,False,True,False,True,False,False,True,False,False,False,True
5,3.75,1.3,3,0.025452315240723705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.6,1.2,3,0.005928651742819176,0.0011243994684657058,False,False,False,True,False,True,False,False,True,False,False,False,True
2,3.6,1.1,3,0.19584994378002657,0.07308596545027088,False,False,False,True,False,False,False,True,True,False,False,False,True
1,3.6,1.2,3,0.025452315240723705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
2,3.25,1.14,3,0.025452315240723705,0.0013288357354594705,False,False,False,True,False,False,True,False,True,False,False,False,True
7,3.6,1.2,3,0.005928651742819176,0.0011243994684657058,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.75,1.3,2,0.038127363794337114,0.005826433609322294,False,False,True,False,False,True,False,False,True,False,False,False,True
5,3.6,1.2,3,0.005417561075334764,0.005417561075334764,False,False,False,True,True,False,False,False,True,False,False,True,False
1,3.25,1.14,3,0.005417561075334764,0.005417561075334764,False,False,False,True,True,False,False,False,True,False,False,True,False
5,3.75,1.3,3,0.005417561075334764,0.005417561075334764,False,False,False,True,True,False,False,False,True,False,False,True,False
1,3.6,1.2,3,0.005417561075334764,0.005417561075334764,False,False,False,True,True,False,False,False,True,False,False,True,False
3,3.75,1.3,3,0.014923847490544822,0.003168762138403353,False,False,False,True,False,False,True,False,True,False,False,False,True
6,3.6,1.2,3,0.0035776346723908822,0.0011243994684657058,False,False,False,True,False,False,False,True,True,False,False,False,True
2,3.75,1.3,1,0.0012266176019625882,0.0002044362669937647,True,False,False,False,False,False,True,False,True,False,False,False,True
3,3.25,1.14,3,0.021465808034345293,0.001431053868956353,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.25,1.14,3,0.021465808034345293,0.001431053868956353,False,False,False,True,False,True,False,False,True,False,False,False,True
2,3.75,1.3,1,0.0012266176019625882,0.0002044362669937647,True,False,False,False,False,False,True,False,True,False,False,False,True
2,3.25,1.14,3,0.021465808034345293,0.001431053868956353,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.75,1.3,3,0.021465808034345293,0.001431053868956353,False,False,False,True,False,True,False,False,True,False,False,False,True
8,3.25,1.14,3,0.021465808034345293,0.001431053868956353,False,False,False,True,False,True,False,False,True,False,False,False,True
2,3.6,1.2,3,0.021465808034345293,0.001431053868956353,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.49,1.0,3,0.19584994378002657,0.016457119492998058,False,False,False,True,False,False,False,True,True,False,False,False,True
4,3.75,1.3,3,0.19584994378002657,0.016457119492998058,False,False,False,True,False,False,False,True,True,False,False,False,True
1,3.6,1.1,3,0.19584994378002657,0.016457119492998058,False,False,False,True,False,False,False,True,True,False,False,False,True
1,3.25,1.14,3,0.10978227537565165,0.08944086680977205,False,False,False,True,True,False,False,False,True,False,False,False,True
2,3.49,1.0,3,0.025452315240723705,0.011550649085147704,False,False,False,True,False,False,True,False,True,False,False,False,True
2,3.49,1.0,3,0.025452315240723705,0.011550649085147704,False,False,False,True,False,False,True,False,True,False,False,False,True
2,3.25,1.14,1,0.19584994378002657,0.0005110906674844118,True,False,False,False,False,False,False,True,True,False,False,False,True
6,3.6,1.0999999999999999,1,0.010732904017172647,0.0004088725339875294,True,False,False,False,False,False,True,False,True,False,False,False,True
2,3.25,1.14,3,0.038127363794337114,0.0013288357354594705,False,False,False,True,False,True,False,False,True,False,False,False,True
5,3.6,1.2,3,0.19584994378002657,0.016457119492998058,False,False,False,True,False,False,False,True,True,False,False,False,True
5,3.75,1.3,3,0.038127363794337114,0.0013288357354594705,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.49,1.0,2,0.04926914034549729,0.041704998466728,False,False,True,False,False,False,False,True,True,False,False,False,True
2,3.6,1.1,2,0.04926914034549729,0.041704998466728,False,False,True,False,False,False,False,True,True,False,False,False,True
2,3.6,1.2,2,0.19584994378002657,0.00030665440049064706,False,False,True,False,False,False,False,True,True,False,False,False,True
3,3.75,1.3,3,0.19584994378002657,0.016457119492998058,False,False,False,True,False,False,False,True,True,False,False,False,True
2,3.49,1.0,2,0.04855361341101912,0.00010221813349688235,False,False,True,False,False,False,True,False,True,False,False,False,True
4,3.75,1.3,1,0.021465808034345293,0.001737708269447,True,False,False,False,False,True,False,False,True,False,False,False,True
5,3.4899999999999998,1.0,1,0.021465808034345293,0.001737708269447,True,False,False,False,False,True,False,False,True,False,False,False,True
1,3.25,1.14,1,0.021465808034345293,0.001737708269447,True,False,False,False,False,True,False,False,True,False,False,False,True
4,3.25,1.14,2,0.10978227537565165,0.08944086680977205,False,False,True,False,True,False,False,False,True,False,False,False,True
7,3.6,1.2,3,0.012981702954104057,0.00010221813349688235,False,False,False,True,True,False,False,False,True,False,False,False,True
2,1.25,0.6,1,0.0035776346723908822,0.0016354901359501176,True,False,False,False,False,False,False,True,False,True,False,False,True
1,3.75,1.3,2,0.0066441786772973525,0.008177450679750588,False,False,True,False,False,False,True,False,True,False,False,False,True
3,3.75,1.3,2,0.0066441786772973525,0.008177450679750588,False,False,True,False,False,False,True,False,True,False,False,False,True
6,3.25,1.14,3,0.021465808034345293,0.001737708269447,False,False,False,True,False,True,False,False,True,False,False,False,True
2,3.25,1.14,3,0.021465808034345293,0.001737708269447,False,False,False,True,False,True,False,False,True,False,False,False,True
3,3.49,1.0,2,0.0066441786772973525,0.008177450679750588,False,False,True,False,False,False,True,False,True,False,False,False,True
2,3.6,1.1,2,0.0066441786772973525,0.008177450679750588,False,False,True,False,False,False,True,False,True,False,False,False,True
3,3.6,1.0999999999999999,2,0.0066441786772973525,0.008177450679750588,False,False,True,False,False,False,True,False,True,False,False,False,True
2,3.75,1.3,2,0.0066441786772973525,0.008177450679750588,False,False,True,False,False,False,True,False,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.021465808034345293,0.001737708269447,False,False,False,True,False,True,False,False,True,False,False,False,True
2,3.6,1.1,3,0.19584994378002657,0.002862107737912706,False,False,False,True,False,False,False,True,True,False,False,False,True
2,3.6,1.2,3,0.04926914034549729,0.041704998466728,False,False,False,True,False,False,False,True,True,False,False,False,True
3,3.25,1.14,2,0.09812940815700705,0.037207400592865175,False,False,True,False,False,False,True,False,True,False,False,False,True
2,3.6,1.1,3,0.04926914034549729,0.041704998466728,False,False,False,True,False,False,False,True,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.04926914034549729,0.041704998466728,False,False,False,True,False,False,False,True,True,False,False,False,True
5,3.6,1.1,3,0.04926914034549729,0.041704998466728,False,False,False,True,False,False,False,True,True,False,False,False,True
2,3.6,1.2,3,0.09812940815700705,0.015741592558519882,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.75,1.3,3,0.09812940815700705,0.015741592558519882,False,False,False,True,False,False,True,False,True,False,False,False,True
5,3.75,1.3,0,0.09812940815700705,0.0006133088009812941,False,True,False,False,False,False,True,False,True,False,False,False,True
2,3.6,1.2,3,0.09812940815700705,0.005724215475825412,False,False,False,True,False,False,True,False,True,False,False,False,True
4,3.25,1.14,3,0.014923847490544822,0.008688541347234999,False,False,False,True,False,False,True,False,True,False,False,False,True
2,3.6,1.1,3,0.19584994378002657,0.07308596545027088,False,False,False,True,False,False,False,True,True,False,False,False,True
3,3.25,1.14,3,0.014923847490544822,0.008688541347234999,False,False,False,True,False,False,True,False,True,False,False,False,True
5,3.75,1.3,3,0.04855361341101912,0.0004088725339875294,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.49,1.0,1,0.19584994378002657,0.0010221813349688236,True,False,False,False,False,False,False,True,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.09812940815700705,0.0019421445364407647,False,False,False,True,False,False,True,False,True,False,False,False,True
3,1.25,0.6,3,0.09812940815700705,0.0019421445364407647,False,False,False,True,False,False,True,False,False,True,False,False,True
3,3.6,1.2,3,0.011857303485638352,0.0004088725339875294,False,False,False,True,False,False,False,True,True,False,False,False,True
4,3.25,1.14,3,0.011857303485638352,0.0004088725339875294,False,False,False,True,False,False,False,True,True,False,False,False,True
4,3.6,1.2,1,0.04620259634059082,0.021874680568332822,True,False,False,False,True,False,False,False,True,False,False,False,True
6,3.49,1.0,3,0.04855361341101912,0.00030665440049064706,False,False,False,True,False,False,True,False,True,False,False,False,True
6,3.6,1.0999999999999999,3,0.09812940815700705,0.0019421445364407647,False,False,False,True,False,False,True,False,True,False,False,False,True
2,3.6,1.1,2,0.04926914034549729,0.041704998466728,False,False,True,False,False,False,False,True,True,False,False,False,True
6,3.75,1.3,3,0.09812940815700705,0.0019421445364407647,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.09812940815700705,0.037207400592865175,False,False,False,True,False,False,True,False,True,False,False,False,True
5,3.6,1.2,3,0.09812940815700705,0.0019421445364407647,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.75,1.3,3,0.09812940815700705,0.0019421445364407647,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.09812940815700705,0.037207400592865175,False,False,False,True,False,False,True,False,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.10978227537565165,0.08944086680977205,False,False,False,True,True,False,False,False,True,False,False,False,True
2,3.25,1.14,3,0.10978227537565165,0.08944086680977205,False,False,False,True,True,False,False,False,True,False,False,False,True
1,3.75,1.3,3,0.05754880915874476,0.05243790248390064,False,False,False,True,True,False,False,False,True,False,False,False,True
5,3.4899999999999998,1.0,3,0.10978227537565165,0.08944086680977205,False,False,False,True,True,False,False,False,True,False,False,False,True
3,3.25,1.14,3,0.05754880915874476,0.05243790248390064,False,False,False,True,True,False,False,False,True,False,False,False,True
5,3.75,1.3,3,0.04620259634059082,0.021874680568332822,False,False,False,True,True,False,False,False,True,False,False,False,True
3,3.25,1.14,3,0.19584994378002657,0.016457119492998058,False,False,False,True,False,False,False,True,True,False,False,False,True
3,3.49,1.0,3,0.09812940815700705,0.037207400592865175,False,False,False,True,False,False,True,False,True,False,False,False,True
4,3.6,1.2,2,0.024532352039251762,0.0035776346723908822,False,False,True,False,False,True,False,False,True,False,False,False,True
5,3.6,1.1,3,0.10978227537565165,0.08944086680977205,False,False,False,True,True,False,False,False,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.10978227537565165,0.08944086680977205,False,False,False,True,True,False,False,False,True,False,False,False,True
3,3.6,1.0999999999999999,3,0.04620259634059082,0.021874680568332822,False,False,False,True,True,False,False,False,True,False,False,False,True
8,3.49,1.0,3,0.04620259634059082,0.021874680568332822,False,False,False,True,True,False,False,False,True,False,False,False,True
1,3.25,1.14,3,0.10978227537565165,0.08944086680977205,False,False,False,True,True,False,False,False,True,False,False,False,True
3,3.49,1.0,3,0.038127363794337114,0.00010221813349688235,False,False,False,True,False,True,False,False,True,False,False,False,True
5,3.6,1.2,0,0.004293161606869059,0.008177450679750588,False,True,False,False,False,True,False,False,True,False,False,False,True
3,3.75,1.3,2,0.10978227537565165,0.001431053868956353,False,False,True,False,True,False,False,False,True,False,False,False,True
6,3.49,1.0,2,0.10978227537565165,0.001431053868956353,False,False,True,False,True,False,False,False,True,False,False,False,True
2,3.75,1.3,2,0.10978227537565165,0.001431053868956353,False,False,True,False,True,False,False,False,True,False,False,False,True
2,3.49,1.0,2,0.10978227537565165,0.001431053868956353,False,False,True,False,True,False,False,False,True,False,False,False,True
3,3.75,1.3,2,0.10978227537565165,0.001431053868956353,False,False,True,False,True,False,False,False,True,False,False,False,True
1,3.49,1.0,1,0.04926914034549729,0.041704998466728,True,False,False,False,False,False,False,True,True,False,False,False,True
2,3.49,1.0,3,0.04926914034549729,0.041704998466728,False,False,False,True,False,False,False,True,True,False,False,False,True
5,3.6,1.1,3,0.04926914034549729,0.041704998466728,False,False,False,True,False,False,False,True,True,False,False,False,True
3,3.6,1.2,1,0.04926914034549729,0.041704998466728,True,False,False,False,False,False,False,True,True,False,False,False,True
2,3.6,1.2,2,0.04926914034549729,0.0019421445364407647,False,False,True,False,False,False,False,True,True,False,False,False,True
