Product Name,Region,Home Factory,Candidate Factory,Rank,Recommend Reassignment,Lead Time Reduction (%),Risk Reduction,Profit Impact ($),Composite Score,Current_Lead_Time_Days,Predicted Lead Time Days,Current_Margin_Pct,Predicted Margin Pct
Fizzy Lifting Drinks,Atlantic,Sugar,Chocolate,1,True,10.601967498604745,-0.005671879932686447,0.26146147459555463,0.3014179363239433,1455.5,1301.188363057808,0.6,0.6077470066546832
Fizzy Lifting Drinks,Atlantic,Sugar,Other,2,False,11.412482983824727,-0.023243207568822866,0.30893893932857175,-0.06699604446503553,1455.5,1289.391310170431,0.6,0.6091537463504763
Fizzy Lifting Drinks,Gulf,Sugar,Chocolate,1,False,-39.24237463491199,-0.005671879932686447,0.1162050998202465,-1.7460654786134169,909.0,1265.71318543135,0.6,0.6077470066546832
Fizzy Lifting Drinks,Gulf,Sugar,Other,2,False,-45.044855121207746,-0.023243207568822866,0.137306195257143,-2.38617233631011,909.0,1318.4577330517784,0.6,0.6091537463504763
Fizzy Lifting Drinks,Interior,Sugar,Chocolate,1,False,1.3047972519195148,-0.005671879932686447,0.14525637477530812,-0.08107915693173308,1273.5,1256.883406996805,0.6,0.6077470066546832
Fizzy Lifting Drinks,Interior,Sugar,Other,2,False,1.7027384599946171,-0.023243207568822866,0.17163274407142873,-0.4665729009223546,1273.5,1251.8156257119686,0.6,0.6091537463504763
Fizzy Lifting Drinks,Pacific,Sugar,Chocolate,1,False,-0.03946834432159032,-0.005671879932686447,0.08715382486518487,-0.13665834130668203,1274.0,1274.502826706657,0.6,0.6077470066546832
Fizzy Lifting Drinks,Pacific,Sugar,Other,2,False,-0.5291784184603304,-0.023243207568822866,0.10297964644285725,-0.5586675419209503,1274.0,1280.7417330511846,0.6,0.6091537463504763
Fun Dip,Atlantic,Sugar,Chocolate,1,False,0.30427354075479396,-0.005671879932686447,0.37500413928958987,-0.12063222016078494,1275.0,1271.1205123553764,0.3999999999999999,0.4625006898815982
Fun Dip,Atlantic,Sugar,Other,2,False,2.147298835487395,-0.023243207568822866,0.3750747771931134,-0.44696823037543837,1275.0,1247.6219398475355,0.3999999999999999,0.4625124628655188
Fun Dip,Gulf,Sugar,Chocolate,1,False,-8.090379405255371,-0.005671879932686447,0.09375103482239747,-0.467170299564938,1272.0,1374.9096260348483,0.3999999999999999,0.4625006898815982
Fun Dip,Gulf,Sugar,Other,2,False,-6.8323799518362955,-0.023243207568822866,0.09376869429827835,-0.8175267609986163,1272.0,1358.9078729873577,0.3999999999999999,0.4625124628655188
Fun Dip,Interior,Sugar,Chocolate,1,False,-2.3561419694374397,-0.005671879932686447,0.2812531044671919,-0.23048700760840646,1271.0,1300.94656443155,0.4,0.4625006898815982
Fun Dip,Interior,Sugar,Other,2,False,-2.410652441612013,-0.023243207568822866,0.2813060828948346,-0.6347325096191755,1271.0,1301.639392532889,0.4,0.4625124628655188
Hair Toffee,Atlantic,Sugar,Chocolate,1,True,16.415469496122668,-0.005671879932686447,-0.740191208724954,0.5334540104569688,1639.0,1369.9504549585497,0.7777777777777778,0.7448803907233353
Hair Toffee,Atlantic,Sugar,Other,2,True,17.745921008610978,-0.023243207568822866,-0.3866439239813497,0.18842142717483779,1639.0,1348.144354668866,0.7777777777777778,0.7605936033786066
Hair Toffee,Gulf,Sugar,Chocolate,1,True,18.009227226716227,-0.005671879932686447,-0.2960764834899816,0.60184185667599,1635.0,1340.5491348431897,0.7777777777777778,0.7448803907233353
Hair Toffee,Gulf,Sugar,Other,2,True,18.325722259562284,-0.023243207568822866,-0.1546575695925399,0.21376851345651318,1635.0,1335.374441056157,0.7777777777777778,0.7605936033786066
Hair Toffee,Pacific,Sugar,Chocolate,1,False,-4.144026161391299,-0.005671879932686447,-1.480382417449908,-0.3155999755119422,1273.5,1326.2741731653182,0.7777777777777778,0.7448803907233353
Hair Toffee,Pacific,Sugar,Other,2,False,-3.9708679593502056,-0.023243207568822866,-0.7732878479626994,-0.7057996761129222,1273.5,1324.0690034623249,0.7777777777777778,0.7605936033786066
Kazookles,Atlantic,Other,Sugar,1,True,-1.6492358403886485,0.023243207568822866,-0.3575564350455571,0.4558298638983031,1234.842105263158,1255.2075638353676,0.0769230769230769,0.0740278831170399
Kazookles,Atlantic,Other,Chocolate,2,True,-1.7039975597269268,0.01757132763613642,0.3305522009924875,0.32838898680248346,1234.842105263158,1255.8837846033227,0.0769230769230769,0.0795996129635019
Kazookles,Gulf,Other,Sugar,1,True,-5.263442907145142,0.023243207568822866,-0.19759697726201841,0.30849997782787775,1272.428571428571,1339.4021228199167,0.0769230769230769,0.0740278831170399
Kazookles,Gulf,Other,Chocolate,2,True,-5.243256505008356,0.01757132763613642,0.18267358475900625,0.18209081695718887,1272.428571428571,1339.1452652715848,0.0769230769230769,0.0795996129635019
Kazookles,Interior,Other,Sugar,1,True,-10.38939142527573,0.023243207568822866,-0.1881875973923985,0.09810035886449756,1136.0,1254.0234865911325,0.0769230769230769,0.0740278831170399
Kazookles,Interior,Other,Chocolate,2,False,-10.362887596677835,0.01757132763613642,0.173974842627625,-0.02816974450733668,1136.0,1253.7224030982602,0.0769230769230769,0.0795996129635019
Kazookles,Pacific,Other,Sugar,1,True,3.8354791533603154,0.023243207568822866,-0.3011001558278376,0.68139744626756,1318.625,1268.0494130140023,0.0769230769230769,0.0740278831170399
Kazookles,Pacific,Other,Chocolate,2,True,4.043343342777039,0.01757132763613642,0.2783597482042,0.5640175649132211,1318.625,1265.3084638463065,0.0769230769230769,0.0795996129635019
Laffy Taffy,Atlantic,Sugar,Chocolate,1,True,10.442554000638504,-0.005671879932686447,0.2883737015225827,0.2950515333856274,1456.1666666666667,1304.1056761607024,0.6231155778894473,0.6351915285394717
Laffy Taffy,Atlantic,Sugar,Other,2,False,10.436776725751972,-0.023243207568822866,0.4153258168273429,-0.106349854603041,1456.1666666666667,1304.1898029118418,0.6231155778894473,0.640507781274177
Laffy Taffy,Gulf,Sugar,Chocolate,1,False,-20.55767188680346,-0.005671879932686447,0.26434255972903414,-0.9779211561148223,1092.0,1316.4897770038938,0.6231155778894473,0.6351915285394717
Laffy Taffy,Gulf,Sugar,Other,2,False,-23.785379080210607,-0.023243207568822866,0.380715332091731,-1.5116794360220274,1092.0,1351.7363395558998,0.6231155778894473,0.640507781274177
Laffy Taffy,Interior,Sugar,Chocolate,1,False,3.0407094332451154,-0.005671879932686447,0.02403114179354856,-0.010611269074274413,1272.0,1233.322176009122,0.6231155778894473,0.6351915285394717
Laffy Taffy,Interior,Sugar,Other,2,False,1.9376524251783784,-0.023243207568822866,0.03461048473561191,-0.45783824325465716,1272.0,1247.353061151731,0.6231155778894473,0.640507781274177
Laffy Taffy,Pacific,Sugar,Chocolate,1,True,13.967904100931422,-0.005671879932686447,0.02403114179354856,0.43803951049442635,1638.0,1409.205730826743,0.6231155778894473,0.6351915285394717
Laffy Taffy,Pacific,Sugar,Other,2,True,15.206561239241626,-0.023243207568822866,0.03461048473561191,0.08695906881848595,1638.0,1388.916526901222,0.6231155778894473,0.640507781274177
Lickable Wallpaper,Atlantic,Other,Sugar,1,True,8.5145846704433,0.023243207568822866,-0.546428228058486,0.871882873825743,1394.0,1275.3066896940204,0.5,0.4908928628656919
Lickable Wallpaper,Atlantic,Other,Chocolate,2,True,8.334830036490757,0.01757132763613642,-0.090210309553278,0.7377691507212517,1394.0,1277.8124692913188,0.5,0.4984964948407786
Lickable Wallpaper,Interior,Other,Sugar,1,True,19.469540383529424,0.023243207568822866,-0.182142742686162,1.324094070012061,1641.0,1321.5048423062822,0.5,0.4908928628656919
Lickable Wallpaper,Interior,Other,Chocolate,2,True,19.172825697153304,0.01757132763613642,-0.030070103184426,1.1831571996631949,1641.0,1326.3739303097143,0.5,0.4984964948407786
Nerds,Atlantic,Sugar,Chocolate,1,False,-0.6846039279250592,-0.005671879932686447,0.762958779577104,-0.1586558592444719,1274.0,1282.7218540417653,0.4666666666666666,0.5175305853051403
Nerds,Atlantic,Sugar,Other,2,False,1.0901941637026074,-0.023243207568822866,0.763218619320426,-0.4877918973768996,1274.0,1260.1109263544288,0.4666666666666666,0.5175479079546951
SweeTARTS,Atlantic,Sugar,Chocolate,1,False,-4.974639382742588,-0.005671879932686447,1.90739694894276,-0.3271923835547042,1347.6,1414.638240321839,0.4666666666666667,0.5175305853051403
SweeTARTS,Atlantic,Sugar,Other,2,False,-5.0535464038008815,-0.023243207568822866,1.9080465483010651,-0.7324355991640946,1347.6,1415.7015913376206,0.4666666666666667,0.5175479079546951
SweeTARTS,Interior,Sugar,Chocolate,1,False,0.604989745471086,-0.005671879932686447,1.0681422914079457,-0.10367960508718516,1364.75,1356.4934024486834,0.4666666666666666,0.5175305853051403
SweeTARTS,Interior,Sugar,Other,2,False,0.9122513884779417,-0.023243207568822866,1.0685060670485964,-0.4930693355053432,1364.75,1352.3000491757473,0.4666666666666666,0.5175479079546951
SweeTARTS,Pacific,Sugar,Chocolate,1,True,19.82632801334589,-0.005671879932686447,0.3051835118308416,0.6804439598220773,1638.0,1313.2447471413943,0.4666666666666666,0.5175305853051403
SweeTARTS,Pacific,Sugar,Other,2,True,20.195816830809825,-0.023243207568822866,0.3052874477281704,0.2936074376621756,1638.0,1307.192520311335,0.4666666666666666,0.5175479079546951
Wonka Bar - Fudge Mallows,Atlantic,Chocolate,Sugar,1,True,4.041247172245327,0.005671879932686447,78.95046596245825,0.8144477185682102,1321.8117870722433,1268.3941056047809,0.6666666666666666,0.6805644391568896
Wonka Bar - Fudge Mallows,Atlantic,Chocolate,Other,2,True,4.5039486436924,-0.01757132763613642,49.07054125668804,0.1031271992087788,1321.8117870722433,1262.2780630162367,0.6666666666666666,0.6753046298508464
Wonka Bar - Fudge Mallows,Gulf,Chocolate,Sugar,1,True,-5.516048611123816,0.005671879932686447,42.026864010434046,0.17669312943654303,1308.425,1380.5983590400967,0.6666666666666666,0.6805644391568896
Wonka Bar - Fudge Mallows,Gulf,Chocolate,Other,2,False,0.2669898622346561,-0.01757132763613642,26.12120066895941,-0.22332805653764712,1308.425,1304.9316378950562,0.6666666666666666,0.6753046298508464
Wonka Bar - Fudge Mallows,Interior,Chocolate,Sugar,1,True,1.8507799415654465,0.005671879932686447,60.18847310065733,0.5998417139107056,1312.4513715710723,1288.1607848432343,0.6666666666666666,0.6805644391568896
Wonka Bar - Fudge Mallows,Interior,Chocolate,Other,2,False,2.0220597546730135,-0.01757132763613642,37.409290958045446,-0.07626114694538436,1312.4513715710723,1285.9128205868797,0.6666666666666666,0.6753046298508464
Wonka Bar - Fudge Mallows,Pacific,Chocolate,Sugar,1,True,-0.5036768913207882,0.005671879932686447,80.60152133429673,0.638812292663734,1314.1415270018622,1320.7605541926207,0.6666666666666666,0.6805644391568896
Wonka Bar - Fudge Mallows,Pacific,Chocolate,Other,2,False,0.21308132374082642,-0.01757132763613642,50.09673128296859,-0.06622921338107651,1314.1415270018622,1311.3413368402987,0.6666666666666666,0.6753046298508464
Wonka Bar - Milk Chocolate,Atlantic,Chocolate,Other,1,False,2.1374091055059834,-0.01757132763613642,-15.45610056444923,-0.42280423665252254,1309.4920127795526,1281.502811262529,0.6492307692307693,0.6466984352315148
Wonka Bar - Milk Chocolate,Atlantic,Chocolate,Sugar,2,False,1.5809741855766526,0.005671879932686447,-220.99578992959007,-1.2796448028766039,1309.4920127795526,1288.7892820953198,0.6492307692307693,0.6130227263161153
Wonka Bar - Milk Chocolate,Gulf,Chocolate,Other,1,False,-0.9778087244853098,-0.01757132763613642,-8.098404129615572,-0.5018191205472149,1291.1036585365853,1303.728182751905,0.6492307692307693,0.6466984352315148
Wonka Bar - Milk Chocolate,Gulf,Chocolate,Sugar,2,False,-3.205323083810232,0.005671879932686447,-115.79332124106317,-0.7771137669317846,1291.1036585365853,1332.4877021395769,0.6492307692307693,0.6130227263161153
Wonka Bar - Milk Chocolate,Interior,Chocolate,Other,1,False,0.4675934074114158,-0.01757132763613642,-12.172296450915606,-0.4695436683195442,1332.6815415821502,1326.4500105519232,0.6492307692307692,0.6466984352315148
Wonka Bar - Milk Chocolate,Interior,Chocolate,Sugar,2,False,0.16026710831791088,0.005671879932686447,-174.04301028001214,-1.0259853627836495,1332.6815415821502,1330.54569141237,0.6492307692307692,0.6130227263161153
Wonka Bar - Milk Chocolate,Pacific,Chocolate,Other,1,False,1.6216943466698102,-0.01757132763613642,-15.9992862072893,-0.44758790004107474,1326.3657407407406,1304.856142506983,0.6492307692307693,0.6466984352315148
Wonka Bar - Milk Chocolate,Pacific,Chocolate,Sugar,2,False,0.8206567359648994,0.005671879932686447,-228.7624151347833,-1.362469606724579,1326.3657407407406,1315.480830945821,0.6492307692307693,0.6130227263161153
Wonka Bar - Nutty Crunch Surprise,Atlantic,Chocolate,Sugar,1,True,2.606733149969723,0.005671879932686447,125.12578493214532,1.0623742120236144,1361.0995850622407,1325.619350974323,0.7134670487106017,0.7382614196919366
Wonka Bar - Nutty Crunch Surprise,Atlantic,Chocolate,Other,2,True,3.598196328724456,-0.01757132763613642,79.40392142986126,0.26749742211168276,1361.0995850622407,1312.1245497622474,0.7134670487106017,0.7292013778608436
Wonka Bar - Nutty Crunch Surprise,Gulf,Chocolate,Sugar,1,True,-4.259337188309264,0.005671879932686447,76.06193980315058,0.45444715742886355,1324.3788395904437,1380.7886000192182,0.7134670487106017,0.7382614196919366
Wonka Bar - Nutty Crunch Surprise,Gulf,Chocolate,Other,2,False,-1.711973090915443,-0.01757132763613642,48.268358877488275,-0.15741759385443432,1324.3788395904437,1347.0518489460103,0.7134670487106017,0.7292013778608436
Wonka Bar - Nutty Crunch Surprise,Interior,Chocolate,Sugar,1,True,4.266555998034719,0.005671879932686447,116.55908181438436,1.073599630935857,1328.5924276169264,1271.9072877070014,0.7134670487106017,0.7382614196919366
Wonka Bar - Nutty Crunch Surprise,Interior,Chocolate,Other,2,True,4.368073342922407,-0.01757132763613642,73.96755336516122,0.26298368166673625,1328.5924276169264,1270.5585359501058,0.7134670487106017,0.7292013778608436
