Factory,Region,Orders,Dominant_Ship_Mode,Recommended Ship Mode,Recommend Switch,Current_Lead_Time_Days,Predicted Lead Time Days,Delta Lead Time Days,Current_Margin_Pct,Predicted Margin Pct,Delta Margin Pct,Score
Chocolate,Atlantic,2778,Standard Class,Second Class,True,1322.772498200144,1236.4708730703671,-86.30162512977677,0.6743794980862629,0.6619003248707265,-0.0124791732155363,1.4590660144424927
Chocolate,Gulf,1519,Standard Class,First Class,True,1314.1586570111915,1274.2136091872824,-39.945047823909135,0.6746779195537332,0.6619003248707265,-0.0127775946830067,1.0335856206194483
Sugar,Gulf,5,Standard Class,First Class,True,1200.0,1247.5325768117343,47.53257681173454,0.6048017867113344,0.6060589416087725,0.001257154897438,1.0162983112731379
Chocolate,Interior,2225,Standard Class,Standard Class,False,1325.0696629213485,1286.0005948026385,-39.06906811871022,0.6753691519059407,0.6619003248707265,-0.0134688270352142,0.9007088926028847
Sugar,Pacific,5,Standard Class,Standard Class,False,1419.4,1334.066654810811,-85.333345189189,0.6490675600223339,0.7382612625736575,0.0891937025513236,0.7937965145093364
Chocolate,Pacific,3055,Standard Class,Second Class,True,1321.552209492635,1301.4400792006727,-20.11213029196233,0.6747900558432028,0.6619003248707265,-0.0128897309724763,0.7266569139188005
Other,Pacific,44,Standard Class,Standard Class,False,1314.25,1280.9578694717368,-33.292130528263215,0.3588811188811189,0.5199988977204785,0.1611177788393595,0.14929938703616513
Other,Atlantic,56,Standard Class,Standard Class,False,1299.267857142857,1284.4489765548371,-14.818880588019963,0.3685989010989011,0.5199988977204785,0.1513999966215773,0.10994353291910641
Other,Gulf,31,Second Class,First Class,True,1332.1612903225807,1296.2874535707133,-35.87383675186743,0.4199503722084367,0.5199988977204785,0.1000485255120418,-0.023513666563646063
Other,Interior,38,Standard Class,Standard Class,False,1244.078947368421,1318.378270270957,74.299322902536,0.4261943319838057,0.5199988977204785,0.0938045657366727,-0.27254726498577886
Sugar,Atlantic,19,Standard Class,Standard Class,False,1389.2631578947369,1295.8296024784256,-93.43355541631126,0.542972170795498,0.466679920002933,-0.0762922507925649,-0.32205205332619524
Sugar,Interior,8,Standard Class,Standard Class,False,1318.625,1351.9042330865557,33.27923308655568,0.5112227805695142,0.466679920002933,-0.0445428605665811,-0.9541910652071102
