Product Name,Region,Home Factory,Candidate Factory,Is Home Factory,Orders,Units,Sales per Unit,Current_Lead_Time_Days,Predicted Lead Time Days,Delta Lead Time Days,Current_Margin_Pct,Predicted Margin Pct,Delta Margin Pct
Wonka Bar - Fudge Mallows,Atlantic,Chocolate,Chocolate,True,526,3.0,3.6,1321.8117870722433,1263.9358565934947,-57.875930478748614,0.6666666666666666,0.6666629097493774,-3.756917289265971e-06
Wonka Bar - Fudge Mallows,Atlantic,Chocolate,Other,False,526,3.0,3.6,1321.8117870722433,1262.2780630162367,-59.53372405600658,0.6666666666666666,0.6753046298508464,0.008637963184179753
Wonka Bar - Fudge Mallows,Atlantic,Chocolate,Sugar,False,526,3.0,3.6,1321.8117870722433,1268.3941056047809,-53.417681467462444,0.6666666666666666,0.6805644391568896,0.013897772490222948
Wonka Bar - Milk Chocolate,Atlantic,Chocolate,Chocolate,True,626,3.0,3.25,1309.4920127795526,1283.5016909602687,-25.990321819283963,0.6492307692307693,0.6492313575425939,5.883118245897379e-07
Wonka Bar - Milk Chocolate,Atlantic,Chocolate,Other,False,626,3.0,3.25,1309.4920127795526,1281.502811262529,-27.98920151702373,0.6492307692307693,0.6466984352315148,-0.0025323339992544547
Wonka Bar - Milk Chocolate,Atlantic,Chocolate,Sugar,False,626,3.0,3.25,1309.4920127795526,1288.7892820953198,-20.702730684232847,0.6492307692307693,0.6130227263161153,-0.03620804291465396
Wonka Bar - Nutty Crunch Surprise,Atlantic,Chocolate,Chocolate,True,482,3.0,3.49,1361.0995850622407,1320.329569046623,-40.770016015617784,0.7134670487106017,0.7134655007543462,-1.5479562555098525e-06
Wonka Bar - Nutty Crunch Surprise,Atlantic,Chocolate,Other,False,482,3.0,3.49,1361.0995850622407,1312.1245497622474,-48.97503529999335,0.7134670487106017,0.7292013778608436,0.015734329150241866
Wonka Bar - Nutty Crunch Surprise,Atlantic,Chocolate,Sugar,False,482,3.0,3.49,1361.0995850622407,1325.619350974323,-35.48023408791778,0.7134670487106017,0.7382614196919366,0.024794370981334857
Wonka Bar - Triple Dazzle Caramel,Atlantic,Chocolate,Chocolate,True,535,3.0,3.75,1323.7028037383177,1267.5212997677631,-56.18150397055456,0.6533333333333334,0.6533345331591329,1.1998257994916273e-06
Wonka Bar - Triple Dazzle Caramel,Atlantic,Chocolate,Other,False,535,3.0,3.75,1323.7028037383177,1265.2528030443282,-58.45000069398952,0.6533333333333334,0.6515723489528907,-0.0017609843804426983
Wonka Bar - Triple Dazzle Caramel,Atlantic,Chocolate,Sugar,False,535,3.0,3.75,1323.7028037383177,1272.0889928721951,-51.61381086612255,0.6533333333333334,0.6441399109024243,-0.009193422430909148
Wonka Bar -Scrumdiddlyumptious,Atlantic,Chocolate,Chocolate,True,609,3.0,3.6,1306.1018062397372,1308.4878596306933,2.3860533909560218,0.6944444444444444,0.6944469636703114,2.5192258670259093e-06
Wonka Bar -Scrumdiddlyumptious,Atlantic,Chocolate,Other,False,609,3.0,3.6,1306.1018062397372,1294.9795403051892,-11.122265934548068,0.6944444444444444,0.7032196783126317,0.008775233868187238
Wonka Bar -Scrumdiddlyumptious,Atlantic,Chocolate,Sugar,False,609,3.0,3.6,1306.1018062397372,1311.4764676957277,5.374661455990463,0.6944444444444444,0.7085140924754256,0.014069648030981208
Wonka Bar - Fudge Mallows,Gulf,Chocolate,Chocolate,True,280,3.0,3.6,1308.425,1378.1058971347777,69.68089713477775,0.6666666666666666,0.6666629097493774,-3.756917289265971e-06
Wonka Bar - Fudge Mallows,Gulf,Chocolate,Other,False,280,3.0,3.6,1308.425,1304.9316378950562,-3.493362104943799,0.6666666666666666,0.6753046298508464,0.008637963184179753
Wonka Bar - Fudge Mallows,Gulf,Chocolate,Sugar,False,280,3.0,3.6,1308.425,1380.5983590400967,72.17335904009678,0.6666666666666666,0.6805644391568896,0.013897772490222948
Wonka Bar - Milk Chocolate,Gulf,Chocolate,Chocolate,True,328,3.0,3.25,1291.1036585365853,1322.6764055784195,31.57274704183419,0.6492307692307693,0.6492313575425939,5.883118245897379e-07
Wonka Bar - Milk Chocolate,Gulf,Chocolate,Other,False,328,3.0,3.25,1291.1036585365853,1303.728182751905,12.624524215319752,0.6492307692307693,0.6466984352315148,-0.0025323339992544547
Wonka Bar - Milk Chocolate,Gulf,Chocolate,Sugar,False,328,3.0,3.25,1291.1036585365853,1332.4877021395769,41.384043602991596,0.6492307692307693,0.6130227263161153,-0.03620804291465396
